lema,nilai,nilai1
sulur bulur,berbelit-belit tidak keruan,kusut-marut
sumbangan,pemberian sebagai bantuan (pada pesta perkawinan dsb),penyolok
sumber,tempat keluar (air atau zat cair),sumur
sumber daya,faktor produksi terdiri atas tanah tenaga kerja dan modal yang dipakai dalam kegiatan ekonomi untuk menghasilkan barang jasa serta mendistribusikannya,bahan atau keadaan yang dapat digunakan manusia untuk memenuhi keperluan hidupnya
sumber hukum internasional,perjanjian internasional,kebiasaan internasional
sumber infeksi,(Bio) pusat penyebaran kuman penyakit,tumbuhan atau hewan yang menderita penyakit dan dapat menjadi sumber kuman penyakit yang sewaktu-waktu dapat menyebar ke tempat lain
sumbi,tongkat peregang kain pada perkakas tenun (biasanya dibuat dari batang nibung),v → menyumbi
sumbu,benang (kapas dsb) yang berfungsi sebagai jalan peresapan minyak dsb ke bagian yang disulut (tentang lampu kompor dsb),tunam (pada petasan meriam kuno dsb)
sumbul,(Jw) bakul (berkaki) yang mempunyai tutup,→ sumbur
sumpah,pernyataan yang diucapkan secara resmi dengan bersaksi kepada Tuhan atau kepada sesuatu yang dianggap suci (untuk menguatkan kebenaran dan kesungguhannya dsb),pernyataan disertai tekad melakukan sesuatu untuk menguatkan kebenarannya atau berani menderita sesuatu kalau pernyataan itu tidak benar
sumpit,sumpitan,alat untuk menyuap makanan berupa batangan (dari kayu dsb)
sumpit-sumpit,ikan sumpit,sumpit
sumur,sumber air buatan dengan cara menggali tanah,perigi
sumur mati,sumur yang tidak dapat dipakai lagi,sumur buta
sumur pompa,sumur yang memakai pompa (air) untuk menaikkan airnya melalui pipa saluran,sumur yang menggunakan perangkat pompa dan batang saluran isap untuk menaikkan minyak dsb
sun,→ tembakau,ciuman
sunah,jalan yang biasa ditempuh,kebiasaan
sunan,sebutan raja untuk keraton Surakarta (di Jawa),penyebutan nama untuk para wali
sunatan,(upacara) menyunatkan,khitanan
sundut,(ark) keturunan,angkatan
sungga,pacu,suda (ranjau)
sungging,lukisan (perhiasan) diwarnai dengan cat (air mas dsb),v (Mk) → menyungging
sungkupan,keranjang (bakul) untuk menyungkup pakaian (yang diukup atau dikeringkan),tempat (berongga dsb) yang disungkupi sesuatu
sungu,(Jw) tanduk,(Mk) jungur
sungut,rambut panjang yang berfungsi sebagai indra atau perasa (di kepala atau hidung beberapa binatang seperti jangkrik ikan lele),misai
suni,ahli sunah,(Mk) sunyi
sunting,hiasan (bunga dsb) yang dicocokkan di rambut atau di belakang telinga,v → menyunting
suntingan,sesuatu yang dipakai sebagai sunting atau sesuatu yang disuntingkan,hasil menyunting atau mengedit
superblok,(Ing) deretan beberapa gedung bertingkat dalam suatu kawasan atau area,blok hunian atau blok komersial yang sangat besar yang tertutup untuk lalu lintas tersedia jalan untuk pejalan kaki jalan masuk dan jalur hijau
superfosfat,(Kim) garam fosfat (PO43-) dengan kadar fosfor maksimum,pupuk kalsium fosfat dengan kandungan fosfor maksimum
superinfeksi,(Bio) terinfeksinya kembali inang oleh jenis parasit yang sebelumnya sudah pernah menyerangnya,(Dok) infeksi ulang oleh virus yang sama
superior,orang atasan,pemimpin
suplai,perbekalan,pembekalan
suplemen,(sesuatu) yang ditambahkan untuk melengkapi,tambahan
suplesi,penambahan,tambahan
surai,(hor) rambut (kepala),bulu pada tengkuk kuda atau singa
surat,kertas dsb yang bertulis (berbagai-bagai isi maksudnya),secarik kertas dsb sebagai tanda atau keterangan
surat berharga,surat bernilai uang yang dapat diperjualbelikan atau digunakan sebagai agunan saham,bukti penyertaan modal
surat pajak,surat penetapan pajak (berapa besar jumlah pajak yang wajib dibayar),surat izin (tentang pemakaian atau pemilikan senjata api dsb)
surat pujian,surat yang menyatakan kebaikan sesuatu,surat yang mengandung pujian atas jasa orang dsb
surat terbuka,surat yang dimuat dalam surat kabar dsb,surat tidak bersampul
suratan,tulisan,rajah tangan
surga,alam akhirat yang membahagiakan roh manusia yang hendak tinggal di dalamnya (dalam keabadian),kayangan tempat kediaman Batara Guru (Siwa)
suri,sisir pada perkakas tenun,raja perempuan
surian,pohon yang kayunya dibuat papan dsb Toona sinensis,(ark) sersan
suruh,perintah (supaya melakukan sesuatu),sirih
suruhan,perintah,sesuatu yang disuruhkan
surukan,persembunyian,barang-barang yang disembunyikan
survei,teknik riset dengan memberi batas yang jelas atas data,penyelidikan
sus,kue ringan berongga biasanya diisi dengan vla keju dsb,panggilan kepada wanita muda
suspensi,pelaksanaan penundaan atau penangguhan sesuatu untuk sementara,pemecatan (dari jabatan pekerjaan) untuk sementara waktu
suster,wanita yang menjadi anggota perkumpulan kerohanian yang hidup di dalam biara,(cak) juru rawat wanita
susteran,sekolah yang dikelola oleh biarawati,tempat biarawati
susu,organ tubuh yang terletak di bagian dada,organ tubuh yang terletak di dada wanita yang dapat menghasilkan makanan untuk bayi berupa cairan
susuh,duri yang besar (pada tumbuhan),bagian yang keras dan runcing pada kaki ayam
susuk,penyemat (dari kayu dsb),tusuk
susun,kelompok atau kumpulan yang tidak berapa banyak,tumpuk
susunan,sesuatu yang sudah diatur (disusun dsb) dengan baik (tentang organisasi karang-mengarang dsb),sesuatu yang sudah disusun (ditumpuk)
susur,pinggir atau tepi sebelah luar,(Jw) sugi (tembakau)
susuran,alat yang dipegang sewaktu menyusur agar tidak jatuh,tempat menyusur
sut,bunyi yang mengisyaratkan orang lain untuk tenang atau diam,→ suten
sutan,(Mk) sebutan (menurut adat) bagi kaum bangsawan,(nama salah satu) gelar kebangsawanan
sutura,sendi senyawa antara tulang yang hubungannya terjadi karena adanya gerigi yang berpautan satu sama lain,(Dok) pertautan dua tulang yang tidak dapat bergerak lagi
suwarnabumi,(kl) tempat yang menghasilkan emas,tempat yang mempunyai (mengandung) tambang emas
swakaji,metode pengajaran yang mendorong petatar menemukan pemecahan persoalan bagi dirinya sendiri,pengkajian (penelaahan) sendiri
swastika,simbol atau ornamen dengan bentuk yang menyeru- pai salib dengan silang-silang membengkok dalam sudut siku-siku umumnya diartikan sebagai lambang peredaran semesta matahari dsb,lambang keagamaan umat Hindu Dharma di Bali
syah,raja,baginda raja
syahadat,persaksian,(Isl) persaksian dan pengakuan (ikrar) yang benar diikrarkan dengan lisan dan dibenarkan dengan hati bahwa tidak ada Tuhan selain Allah dan Muhammad adalah rasul Allah
syahid,(Ar) saksi (dalam usaha menegakkan atau mempertahankan kebenaran agama),orang yang mati karena membela agama
syair,(Sas) puisi lama yang tiap-tiap bait terdiri atas empat larik (baris) yang berakhir dengan bunyi yang sama,sajak
syak,rasa kurang percaya (sangsi curiga tidak yakin ragu-ragu),adj kurang percaya sangsi curiga tidak yakin ragu-ragu
syarab,(kl) minuman keras,air anggur
syarah,(Ar) nafsu yang kuat terutama pada makanan,keinginan
syarahan,ceramah,pidato
syarat,janji (sebagai tuntutan atau permintaan yang harus dipenuhi),segala sesuatu yang perlu atau harus ada (sedia dimiliki dsb)
syarif,orang yang mulia,bangsawan (sebutan bagi keturunan Nabi Muhammad saw. yang langsung dari Husen)
syekh,sebutan kepada orang Arab (terutama orang Arab keturunan sahabat Nabi),sebutan orang Arab yang berasal dari Hadramaut
syukur,rasa terima kasih kepada Allah,l untunglah (pernyataan lega senang dsb)
syukuran,ucapan syukur,v mengadakan selamatan untuk bersyukur kepada Tuhan (karena terhindar dari maut sembuh dari penyakit dsb)
tabak,talam (tetampan) besar tempat menghidangkan makanan,dulang
tabar-tabar,tumbuhan yang daunnya dibuat obat,setawar
tabernakel,(Kat) lemari kecil yang diletakkan di tengah altar untuk menyimpan hosti,kemah tempat penyimpanan peti perjanjian sebelum Baitullah dibangun di Yerusalem
tabiat,perangai,watak
tabib,orang yang pekerjaannya mengobati orang sakit secara tradisional seperti dukun,dokter
tabiin,(Ar) penganut ajaran Nabi Muhammad saw. yang merupakan generasi kedua dari jemaah muslimin setelah generasi para sahabat yang hidup sezaman dengan Nabi Muhammad saw.,generasi sesudah Nabi Muhammad saw.
tabik,(Mk) (ungkapan untuk memberi) salam,selamat (pagi siang malam)
tablet,obat dalam bentuk butiran atau pipih,gentel (obat padat)
tablig,penyiaran ajaran agama Islam,penyampaian
tabloid,surat kabar ukuran kecil (setengah dari ukuran surat kabar biasa) yang banyak memuat berita secara singkat padat dan bergambar mudah dibaca umum,surat kabar sensasi
tabo,tumbuhan (jenis bunga) yang daunnya biasa dipakai untuk memerahkan kuku,inai
tabu,yang dianggap suci (tidak boleh disentuh diucapkan dsb),pantangan
tabuh,gendang raya,beduk (dalam masjid surau dsb)
tabung,bambu seruas atau lebih (untuk menaruh sesuatu),bumbung
tabung pemilihan,bumbung tempat memasukkan lidi yang dipakai sebagai ganti surat pemilihan,kotak tempat memasukkan surat suara
tabungan,tempat menabungkan uang,celengan
tabut,peti yang dibuat dari anyaman bambu atau burung-burungan burak yang terbuat dari kayu yang dibawa berarak pada peringatan terbunuhnya Hasan-Husen (tanggal Muharam),perarakan untuk memperingati terbunuhnya Hasan-Husen dengan membawa tabut
tadi,waktu yang belum lama berlalu,baru saja
tadinya,pada mulanya,sedianya
tafakur,renungan,perenungan
tagan,taruhan (dalam perjudian),uang dsb yang dimasukkan untuk modal bersama atau untuk bersama-sama mengadakan suatu kegiatan usaha
tagihan,hasil menagih,uang dsb yang harus ditagih
tagut,yang menyuruh orang berbuat jahat,yang disembah orang tetapi bukan Tuhan
tahanan,sesuatu yang menahan (merintangi dsb),hambatan
tahang,pasu dari kayu,tong
tahi,ampas makanan dari dalam perut yang keluar melalui dubur,tinja
tahi angin,awan tipis yang dibawa angin,gerimis kecil
tahi ayam,kotoran ayam,tumbuhan yang ditanam untuk pagar berguna sebagai tanaman yang memperbaiki struktur tanah dan menghasilkan kayu bakar bunganya berwarna merah dan kuning semarak
tahi babi,kotoran babi,tumbuhan Andenostemma viscosum
tahi bintang,benda langit yang tampak berkilauan seperti bintang dan melayang di angkasa untuk beberapa saat,bintang beralih
tahi kerbau,kotoran kerbau,rumput Fimbristylis miliacea
tahi minyak,endapan pada minyak,ampas dalam pembuatan minyak
tahkik,penetapan (penentuan) kebenaran dengan bukti,sah
tahkim,(Ar) perihal menjadikan hakim,keputusan (pertimbangan)
tahlil,(Isl) pengucapan kalimat tauhid l? il?ha illallah 'tidak ada Tuhan selain Allah' secara berulang-ulang,nyanyian pujian
tahsil,hal mendapat,pengumpulan hasil (pajak dsb)
tahun,masa yang lamanya dua belas bulan,bilangan yang menyatakan tarikh
tahunan,(yang terjadi) tiap-tiap tahun atau setahun sekali,bertahun-tahun
taiko,(Cn) orang (pengusaha) yang memiliki banyak uang,pengusaha kaya raya
taji,bagian yang keras dan runcing pada kaki ayam jantan,susuk
tajin,air rebusan beras yang agak kental,air sagu
tajuk,mahkota,petam
tajuk mahkota,hiasan bunga pada mahkota,(ki) yang terpuja-puja
takaful,penjaminan,asuransi berdasarkan syariat Islam
takar,satuan ukuran isi (sukat liter dsb),periuk
takaran,alat untuk menakar,sukatan (liter dsb)
takbir,(Isl) seruan atau ucapan Allahu Akbar 'Allah Mahabesar',(Ar) penyingkapan
takdir,ketetapan Tuhan,ketentuan Tuhan
takhayul,(sesuatu yang) hanya ada dalam khayal belaka,kepercayaan kepada sesuatu yang dianggap ada atau sakti tetapi sebenarnya tidak ada atau tidak sakti
takhta,tempat duduk raja,(ki) kedudukan
takhta kerajaan,kursi kerajaan (tempat duduk raja),singgasana
takik,torehan yang agak dalam pada batang pohon untuk memudahkan pijakan orang memanjat,takuk kecil
taklik,perjanjian (kawin dsb),pernyataan
takrif,pemberitahuan,pernyataan
takrim,(Ar) penghormatan,penghargaan
takrir,peneguhan kebenaran dengan alasan,pengulangan hafalan atau pelajaran
taksir,kira-kira,hitungan (kasar)
taksonomi,klasifikasi bidang ilmu,kaidah dan prinsip yang meliputi pengklasifikasian objek
taktik,rencana atau tindakan yang bersistem untuk mencapai tujuan,pelaksanaan strategi
takuh takah,takik-takik,takuk-takuk
takwa,terpeliharanya diri untuk tetap taat melaksanakan perintah Allah dan menjauhi segala larangan-Nya,keinsafan diri yang diikuti dengan kepatuhan dan ketaatan dalam melaksanakan perintah Allah dan menjauhi segala larangan-Nya
takwil,keterangan,penjelasan (seperti tafsir takbir)
takziah,kunjungan (ucapan) untuk menyatakan turut berduka cita atau belasungkawa,hal menghibur hati orang yang mendapat musibah
tal,tumbuhan palem daunnya disebut rontal (kemudian menjadi lontar) digunakan untuk kertas tulis (zaman dulu dan sekarang masih digunakan di Bali),batang lontar
tala,(Mus) laras (kesesuaian nada),alat untuk melaraskan nada
talang,ikan laut,seliap
talas,tumbuhan berumbi daun muda dan tangkai mudanya dapat disayur umbinya menjadi makanan pokok di Irian,keladi
talas padang,talas yang tingginya mencapai m umbinya tidak enak dimakan bau buahnya mirip daun lengkuas,Colocasia gigantea
talen,mata uang (uang logam) bernilai 2sen (pada zaman Hindia Belanda),→ talenta
tali,barang yang berutas-utas panjang dibuat dari bermacam-macam bahan (sabut kelapa ijuk plastik dsb) ada yang dipintal ada yang tidak gunanya untuk mengikat mengebat menghela menarik dsb,(ki) hubungan
tali air,selokan,saluran air
tali barut,tali pengikat (pembarut),ikat pinggang
tali dugang,(Lay) tali penahan tiang dsb yang dipegang untuk menyeimbangkan perahu dengan badan,tali penahan pohon yang akan ditebang agar tidak menimpa rumah pohon lain dsb dan jatuhnya diarahkan ke tempat yang diinginkan
tali pergantungan,(ki) kekasih,orang tempat mengharapkan bantuan
tali pusat,usus yang menghubungkan tembuni dengan perut (pada pusar) bayi,(Bot) bagian buah yang menghubungkan biji dengan dinding buah
tali sipat,tali (benang) diberi berdawat hitam dsb untuk menandai kayu yang akan digergaji,tali pada batu anting
tali temali,bermacam-macam tali,berkait-kaitan
tali tudung,tali pada tudung,cambang tipis yang sampai di bawah agu
talium,(Kim) logam beracun berwarna putih kebiruan,unsur dengan nomor atom 8berlambang Tl dan bobot atom 20437
talk,bedak halus yang mengandung zat tertentu untuk menjaga kesehatan kulit,talek
taman,kebun yang ditanami dengan bunga-bunga dsb (tempat bersenang-senang),tempat (yang menyenangkan dsb)
taman bacaan,ruang atau rumah tempat membaca,perpustakaan
taman bahagia,tempat orang mendapat atau mengenyam kebahagiaan,(ki) makam para pahlawan (pejuang yang gugur dalam peperangan dsb)
taman laut,taman (daerah) di dalam laut yang penuh dengan kerang rumah binatang koral berwarna-warni dan beraneka ragam ikan,wilayah lautan yang memiliki ciri khas berupa keindahan alam bermanfaat bagi kepentingan pariwisata rekreasi dan pendidikan
tambah,yang dibubuhkan pada yang sudah ada supaya menjadi lebih banyak (lebih besar dsb),imbuh
tambahan,yang ditambahkan (dibubuhkan),lampiran susulan
tambak,pematang untuk menahan air,gili-gili
tambak bukit,tumbuhan rumput yang akarnya untuk obat batuk atau obat menceret,sembung hutan
tambalan,perca dsb yang ditambalkan,hasil pekerjaan menambal
tambang,lombong (cebakan parit lubang di dalam tanah) tempat menggali (mengambil) hasil dari dalam bumi berupa bijih logam batu bara dsb,sampan (perahu dsb) untuk menyeberangkan orang
tambang emas,tempat penggalian emas,(ki) sumber penghasilan yang besar dan menguntungkan
tambangan,perahu tambang,tempat menyeberangkan orang dengan perahu tambang
tambera,tembaga,piagam atau prasasti yang tertulis pada lempengan tembaga
tambi,panggilan kepada laki-laki Keling yang masih muda (yang artinya adik laki-laki),pelayan
tambo,sejarah,babad
tambul,kue yang dihidangkan sebagai teman minuman,minuman untuk dihidangkan (untuk menyegarkan badan)
tampah,perabot rumah tangga dibuat dari anyaman bambu dsb biasanya berbentuk bulat untuk menampi (membersihkan) beras,nyiru
tampalan,yang ditampalkan,hasil menampal
tampang,keratan rata (seperti keratan ubi mangga),irisan pipih rata (tentang roti dsb)
tamparan,pukulan dengan telapak tangan,(ki) sesuatu (kejadian peristiwa) yang tidak mengenakkan hati
tampian,penampi,hasil menampi
tampikan,barang yang sudah ditampik,tolakan
tampin,anyaman dari daun nipah atau rumbia untuk wadah (sagu belacan dsb),(Mk) taruhan untuk mengimbangi (melawan) taruhan yang lain
tampuk,ujung tangkai yang melekat pada buah,berbagai hiasan sebagai penutup (di atas di ujung atau pada pangkal sesuatu)
tampuk pinang,tampuk buah pinang,(nama) burung bunga
tamsil,persamaan dengan umpama (misal),ajaran yang terkandung dalam cerita
tamtam,(Mk) tumbuhan (sulur-suluran) yang getah daunnya berwarna biru,gendang (bunyi-bunyian India)
tamu,orang yang datang berkunjung (melawat dsb) ke tempat orang lain atau ke perjamuan,orang yang datang untuk menginap (di hotel) untuk membeli-beli (di toko)
tanah,permukaan bumi atau lapisan bumi yang di atas sekali,keadaan bumi di suatu tempat
tanah bengkok,tanah yang diterima (untuk diusahakan) sebagai pengganti gaji (bagi pamong desa dsb),tanah yang diterima (untuk diusahakan) dalam kaitan dengan jabatan yang dipegang
tanah dati,tanah milik kelompok kekerabatan di daerah yang penduduknya beragama Islam (dalam adat Ambon),tanah yang dimiliki dan dikuasai oleh klen atau subklen
tanah kampung,pekarangan,tanah yang bukan untuk persawahan (perladangan perkebunan dsb)
tanah kerajaan,tanah milik raja,tanah milik negara
tanah ledok,dataran rendah,tanah yang dalam dan bulat bentuknya
tanah mati,tanah yang tidak diusahakan lagi,tanah kuburan
tanah seberang,daerah di luar Pulau Jawa,daerah Malaka (dilihat dari Sumatra)
tanaman,tumbuhan yang biasa ditanam orang,hasil menanam
tanda,yang menjadi alamat atau yang menyatakan sesuatu,gejala
tanda hidup,tanda adanya kehidupan (pada suatu tempat dsb),tanda mata
tanda pangkat,tanda yang menyatakan pangkat dalam kemiliteran dsb,(Mat) tanda yang menyatakan perpangkatan (pergandaan) suatu bilangan
tanda tanya,tanda baca () yang terdapat pada akhir kalimat tanya,sesuatu yang memerlukan jawaban atau yang kebenarannya masih diragukan
tandak,tari ronggeng,penari ronggeng
tandan,tangkai yang panjang pada buah-buahan yang bergugus (pisang nyiur enau dsb),(Bot) perbungaan yang memanjang tidak terbatas tidak bercabang dengan bunga-bunga bergantian
tandem,sepeda yang dinaiki dua orang atau lebih dengan duduk berurut ke belakang dan semuanya turut mengayuh,pesawat (tempur) untuk dua orang satu di depan (sebagai pilot) satu di belakangnya
tandil,kepala yang mengawasi orang bekerja,mandor
tanding,yang seimbang,yang sebanding
tandingan,yang seimbang (sebanding sama) dengan yang lain,imbangan
tandon,barang tanggungan,barang persediaan
tanduk,cula dua yang tumbuh di kepala (pada lembu kerbau kambing dsb),bahan dari tanduk
tang,alat untuk menjepit (mencabut memotong) paku dsb,tiruan bunyi kaleng dipukul
tangan kanan,tangan sebelah kanan,(ki) pembantu utama
tangan kosong,tidak bersenjata,(ki) tidak berhasil
tangan terbuka,suka menolong,murah hati
tangan-tangan,sandaran tangan (pada kursi dsb),pegangan pada tangga (untuk naik turun)
tanganan,tangan-tangan,buatan
tangga,tumpuan untuk naik turun dibuat dari kayu (papan batu dsb) bersusun berlenggek-lenggek,alat untuk tumpuan memanjat ada bermacam-macam rupa dan namanya (seperti -- lipat -- pilin -- senigai) dibuat dari bambu (kayu besi dsb)
tanggah,uang Persia zaman dulu,→ penanggah
tanggam,persambungan kayu (balok papan) dengan takuk-takuk sehingga dapat rapat,penjepit (dari besi)
tanggapan,sambutan terhadap ucapan (kritik komentar dsb),apa yang diterima oleh pancaindra
tangguk,keranjang dari rotan atau jaring berbingkai (untuk menangkap ikan udang dsb),(ki) tipu muslihat (untuk menjebak dsb)
tanggung jawab,keadaan wajib menanggung segala sesuatunya (kalau terjadi apa-apa boleh dituntut dipersalahkan diperkarakan dsb),(Huk) fungsi menerima pembebanan sebagai akibat sikap pihak sendiri atau pihak lain
tanggungan,beban yang menjadi tanggung jawab,garansi
tangisan,tangis,perihal (perbuatan) menangis
tangkai,gagang pada buah (daun bunga),batang tumbuhan yang kecil-kecil (seperti kecambah padi)
tangkapan,sesuatu yang ditangkap,hasil menangkap
tangkar,(Jw) tulang iga atau tulang paha (belakang) sapi kambing yang masih berdaging sedikit-sedikit dan masih dapat digulai,v → menangkarkan
tangkisan,perbuatan (gerakan dsb) menangkis,perlawanan
tangkur,kuda laut,unduk-unduk
tango,tarian rakyat Argentina yang kemudian menjadi dansa dilakukan di ruang dansa dengan irama 4/4,irama musik untuk mengiringi tari tango
tangsi,asrama (tentara polisi),barak
tani,mata pencaharian dalam bentuk bercocok tanam,mata pencarian dalam bentuk mengusahakan tanah dengan tanam-menanam
tanjidor,(Jk) tambur besar,serombongan pemain musik dengan trompet tambur besar dsb yang biasanya dimainkan pada hari raya Cina
tanjung,tanah (ujung) atau pegunungan yang menganjur ke laut (ke danau),pohon yang bunganya berwarna putih kekuning-kuningan dan berbau harum biasa dipakai untuk hiasan sanggul
tantangan,ajakan berkelahi (berperang dsb),hal atau objek yang menggugah tekad untuk meningkatkan kemampuan mengatasi masalah
tante,(cak) adik atau kakak perempuan ayah atau ibu,bibi
tanur,tempat pembakaran (kapur dsb),perapian
tanya,permintaan keterangan (penjelasan dsb),v (cak) bertanya
tapai,penganan yang dibuat dari beras ketan (ubi kayu dsb) yang direbus dan setelah dingin diberi ragi kemudian dibiarkan semalam atau lebih hingga manis,→ tapaian
tapak,bidang kaki sebelah bawah biasa digunakan untuk menapak,bidang tangan yang digunakan untuk menerima dsb
tapak burung,tumbuhan yang daunnya dapat dimakan sebagai lalap,Aneilema nudiflorum
tapak liman,tumbuhan yang disebut juga tutup bumi berdaun hijau tua berlekuk-lekuk tepinya bergerigi daun dan akarnya dapat digunakan sebagai obat,Elephantopus scaber
tapak tangan,telapak tangan,tanda tangan
tapak tilas,bekas jejak,bekas jalan yang pernah dilalui
tapal,obat dalam bentuk cairan kental atau bubur (biasanya dilumaskan pada kulit perut),pasta
tapal batas,perbatasan (negara daerah),garis pembatas atau pemisah (antara unit administratif atau antara unit regional geografis yang berbeda baik fisik maupun budaya)
tapis,alat yang dibuat dari kain dsb untuk memisahkan benda cair dari benda padat pencemar atau endapan untuk memisahkan benda padat yang berbeda ukurannya,penyaring
taptu,tanda (dengan bunyi trompet dsb) pada malam hari untuk memanggil prajurit supaya pulang ke asramanya,berbaris dengan menggunakan irama musik pada malam hari sambil membawa obor
tapus,pohon yang kayunya baik untuk perkakas rumah,Elateriospermum tapos
tar,tiruan bunyi mencambuk,kue yang dibuat dari tepung terigu gula mentega telur dsb berbentuk bulat dengan ukuran besar
tara,yang sama (tingkatnya kedudukannya dsb),banding(an)
taraf,tingkat(an),derajat
tarak,penahanan hawa nafsu (pada berpuasa berpantang dsb),(Mk) tapa
tarasul,surat-menyurat,korespondensi
tarbil,busur untuk melepaskan bola-bola tanah liat,jepretan
tarekat,(Isl) jalan,jalan menuju kebenaran (dalam tasawuf)
tarif,harga satuan jasa,aturan pungutan
tarikan,hasil menarik,mata pencaharian dari menarik (mengemudikan) beca mobil dsb)
tarikh,perhitungan tahun,angka (bilangan) tahun
taris,lantai (dari plester semen dsb),v ikat
tarsus,tulang pangkal kaki,bagian belakang kaki
tartar,kerak gigi yang ditimbulkan oleh sisa makanan liur dan sari berbagai garam,zat yang mengendap dalam pemeraman hasil peragian
tartir,zat asam yang terdapat dalam buah-buahan yang masam (limau dsb),adj (cak) sedikit-sedikit
taruh,(uang) taruhan,cagar
taruhan,uang dsb yang dipasang dalam perjudian,tagan
taruk,tunas tumbuhan (pohon rumput),daun dan ranting (pucuk) yang tumbuh pada cabang dahan atau batang kayu
tarum,tumbuhan yang daunnya dibuat nila ada bermacam-macam,daun tarum
tarup,yang dipakai sebagai atap untuk sementara (selama upacara berlangsung dsb),pelampang
tas,kemasan atau wadah berbentuk persegi dsb biasanya bertali dipakai untuk menaruh menyimpan atau membawa sesuatu,tiruan bunyi letusan (senapan dsb)
tasamuh,kelapangan dada,keluasan pikiran
tasbih,(Isl) pembacaan puji-pujian kepada Allah dengan mengucap subhanallah 'Mahasuci Allah' atau subhana rabbiyal ?zim (a'la) 'segala kemuliaan bagi Tuhanku Yang Mahabesar (Mahatinggi)',untaian butir manik-manik yang dipakai untuk menghitung ucapan tahlil tasbih dsb
taslim,(Ar) penyerahan diri dan kepatuhan kepada perintah Allah,pemberian hormat
taswir,(Ar) gambaran,lukisan
tata bahasa,kumpulan kaidah tentang struktur gramatikal bahasa,buku tentang kaidah bahasa yang meliputi kaidah fonologi morfologi dan sintaksis
tata bahasa baku,kumpulan kaidah tentang struktur gramatikal bahasa ragam formal yang menjadi patokan pemakaian bahasa,buku yang berisikan kaidah bahasa yang karena wibawanya digunakan sebagai acuan karya yang sejenis
tata cara,aturan (cara) menurut adat kebiasaan,adat istiadat
tataan,hasil menata,(Sen) tempat terjadinya peristiwa dalam suatu pementasan drama khususnya pengaturan lengkap tempat kejadian perlengkapan dan tata cahaya
tatah,pahat,v → bertatah
tatal,serpih-serpih kayu yang ditarah (diketam),sampah yang tipis-tipis
tataran,hasil menatar,tingkatan
tauke,majikan (yang mempunyai perusahaan dsb),(cak) bas (kepala pekerja dsb)
tauliah,(Ar) pelantikan atau pengangkatan menjadi wakil wali dsb,surat pengangkatan atau pelantikan
taun,(Ar) penyakit menular,wabah
Taurat,kitab suci yang diturunkan Allah kepada Nabi Musa a.s.,hukum Nabi Musa a.s. yang dianut oleh orang Yahudi
Taurus,Astron nama gugus bintang di belahan langit sebelah utara khatulistiwa,(Astrol) zodiak ke-yang digambarkan dengan sapi jantan sebagai lambang bagi orang yang lahir antara tanggal 20 April dan 20 Mei
tawanan,orang yang ditawan (ditangkap ditahan),rampasan
tawang,(Jw) ruang di antara langit dan bumi,awang-awang
tawaran,hasil menawarkan,sesuatu yang ditawarkan
tawasul,mengerjakan suatu amal yang dapat mendekatkan diri kepada Allah Swt.,memohon atau berdoa kepada Allah Swt. dengan perantaraan nama seseorang yang dianggap suci dan dekat kepada Tuhan
tayangan,sesuatu yang ditayangkan (dipertunjukkan),pertunjukan (film dsb)
teater,gedung atau ruangan tempat pertunjukan film sandiwara dsb,ruangan besar dengan deretan kursi-kursi ke samping dan ke belakang untuk mengikuti kuliah atau untuk peragaan ilmiah
tebakan,sesuatu yang ditebak,teka-teki
tebangan,sesuatu yang ditebang,hasil menebang
tebaran,sesuatu yang ditebar,hasil menebar
tebasan,sesuatu yang ditebas,hasil menebas
tebat,tambak untuk menyekat pengaliran air,empang
tebeng,pendinding (dari kajang layar tikar dsb) untuk menolak panas matahari,v (Jk) → menebeng
tebing,tepi sungai (jurang) yang tinggi dan terjal (hampir tegak),lereng gunung (bukit) seperti dinding terjal
tebuk,lubang (yang tembus seperti lubang tali sepatu),lubang pada lesung dsb
tebusan,yang ditebus,(uang dsb) yang dipakai untuk menebus
tegal,tanah yang luas serta rata (yang ditanami palawija dsb dengan tidak mempergunakan sistem irigasi dan bergantung pada hujan),ladang
tegangan,tekanan yang diakibatkan oleh tarikan,gaya pada tali atau batang yang menunjang beban atau yang disebabkan oleh rentangan antara dua titik
teguran,ajakan bercakap-cakap,sapaan
teh pahit,minuman yang dibuat dari akar-akaran direbus untuk obat kuat,teh tanpa gula
teja,cahaya (awan) yang merah kekuning-kuningan kelihatan di kaki langit sebelah barat (ketika matahari terbenam),pelangi
teka teki,soal yang berupa kalimat (cerita gambar) yang dikemukakan secara samar-samar biasanya untuk permainan atau untuk mengasah pikiran misal yang digantungkan di atas yang menggantungkan di bawah orang menaikkan layang-layang,tebakan
tekak,bagian yang lembut dari langit-langit mulut sebelah belakang (tempat saraf perasa),lubang atau rongga kerongkongan
tekanan,keadaan (hasil) kekuatan menekan,desakan yang kuat
tekap,penudung (penutup ) yang melingkupi seperti telapak tangan pada mulut saputangan pada muka),pekerjaan lama yang ditinggalkan (berladang dsb)
tekat,bordir,sulaman
tekat berakam,bordir dengan menggunakan benang emas (perak),bordir dengan menggunakan benang emas (perak)
tekat berawan,bordir yang berupa gambar awan,bordir yang berupa gambar awan
